Monster,Number,AC,MV,HD,Lair%,Treas,Atk,Dam,Align,Type,EHD,HDD,Env,Source,Special
Giant Octopus,1d4,7,0,4,30,A,4,1d6,N,A,4,4,U,DD,Swimming (9)
Wight Ape,1d6,6,12,5+2,10,C,1,2d6-1,N,A,4,5.6,D,DD,-
Six Hit Dice Giant Beetle,1d12,3,9,6,-,-,1,1d6,N,A,4,6,D,DD,-
Six Hit Dice Giant Fish,2d6,5,0,6,-,-,1,1d6,N,A,4,6,U,DD,Swimming (30)
Six Hit Dice Pterodactyl,1d8,5,3,6,-,-,1,1d6,N,A,4,6,W,DD,Flight (12)
Tiger,1d4,6,12,5+4,15,-,1,1d6+1,N,A,4,6.2,W,DD,-
Bear,1d6,6,12,5+5,-,-,1,1d6+2,N,A,4,6.5,W,DD,-
Seven Hit Dice Giant Beetle,1d12,3,9,7,-,-,1,1d6,N,A,4,7,D,DD,-
Seven Hit Dice Giant Fish,2d6,5,0,7,-,-,1,1d6,N,A,4,7,U,DD,Swimming (30)
Seven Hit Dice Pterodactyl,1d8,5,3,7,-,-,1,1d6,N,A,4,7,W,DD,Flight (12)
Eight Hit Dice Giant Fish,2d6,5,0,8,-,-,1,1d6,N,A,4,8,U,DD,Swimming (30)
Giant Centipede,1d6,3,12,3+1,60,B,1,1d6,N,A,5,3.3,D,DD,Paralysis
Spotted Lion,2d4,5,12,6+2,25,-,1,1d6+2,N,A,5,6.6,W,DD,-
Giant Boar,1d8,6,12,7,-,-,1,2d6,N,A,5,7,W,DD,Fearlessness
Sabre-Toothed Tiger,1d2,6,12,7+2,15,-,1,1d8+1,N,A,5,7.6,W,DD,-
Cave Bear,1d2,6,12,6+6,-,-,1,2d6-1,N,A,5,7.8,W,DD,-
Nine Hit Dice Giant Fish,2d6,5,0,9,-,-,1,1d6,N,A,5,9,U,DD,Swimming (30)
Giant Spider,1d8,5,3,4+4,70,C,1,1d6,C,A,6,5.2,D,DD,"WebMove (12), Poison, Webs"
Giant Squid,1d6,7,0,6,20,A,4,1d6,N,A,6,6,U,DD,Swimming (12)
Giant Scorpion,1d4,3,15,5+4,50,D,1,1d6+2,N,A,6,6.2,D,DD,Poison
Giant Constrictor Snake,1d4,6,9,7,-,-,1,2d6,N,A,6,7,D,DD,"Swimming (9), Constriction"
Stegosaurus,2d4,5,6,8,-,-,1,1d6+2,N,A,6,8,W,DD,-
Giant Crocodile,1d6,5,9,7,20,-,1,2d6,N,A,7,7,U,DD,"Swimming (15), Swallowing"
Giant Viper,1d4,6,9,7,-,-,1,1d6,N,A,7,7,D,DD,"Swimming (9), Poison"
Woolly Rhinoceros,1d4,5,12,10,-,-,1,2d6+2,N,A,9,10,W,DD,ColdImmunity
Mastodon,1d12,6,15,12,-,-,1,2d6+2,N,A,10,12,W,DD,-
Titanothere,1d12,7,12,12,-,-,1,3d6,N,A,11,12,W,DD,-
Woolly Mammoth,1d12,5,15,13,-,-,1,3d6,N,A,12,13,W,DD,ColdImmunity
Triceratops,2d4,2,9,16,-,-,1,2d6,N,A,14,16,W,DD,-
Sea Serpent,1d4,6,0,15,25,D,1,2d6,N,A,15,15,U,DD,"Swimming (21), Swallowing"
Mosasaurus,1d4,5,3,14,-,-,1,3d6,N,A,16,14,U,DD,"Swimming (15), Swallowing"
Tyrannosaurus Rex,1d2,5,15,20,-,-,1,4d6,N,A,23,20,W,DD,Swallowing
Brontosaurus,1d6,5,6,32,-,-,1,3d6,N,A,23,32,W,DD,-
Leviathan,1,4,0,45,-,H,1,4d6,N,A,42,45,U,DD,"Swimming (18), Swallowing"
Kraken,1,2,3,30,75,G,4,3d6,N,A,60,30,U,DD,Swimming (18)
Very Young White Dragon,1d4,5,6,2-1,60,-,1,1d6,C,B,1,1.7,D,DD,"Flight (12), Detection (6), ColdBreath, ColdImmunity"
Very Young Black Dragon,1d4,5,6,2,60,-,1,1d6,C,B,1,2,D,DD,"Flight (12), Detection (6), AcidBreath, AcidImmunity"
Very Young Green Dragon,1d4,5,6,2+1,60,-,1,1d6,C,B,1,2.3,D,DD,"Flight (12), Detection (6), PoisonBreath"
Very Young Blue Dragon,1d4,5,6,2+2,60,-,1,1d6,C,B,1,2.6,D,DD,"Flight (12), Detection (6), VoltBreath, VoltImmunity"
Very Young Red Dragon,1d4,5,6,2+3,60,-,1,1d6,C,B,1,2.9,D,DD,"Flight (12), Detection (6), FireBreath, FireImmunity"
Shadow,1d10,7,9,2+2,50,F,1,1d6,C,B,2,2.6,D,DD,"Flight (9), SilverToHit, StrengthDrain"
Young White Dragon,1d4,4,9,3,60,H,1,1d6,C,B,2,3,D,DD,"Flight (18), Detection (6), ColdBreath, ColdImmunity"
Werewolf,1d10,6,15,4,15,C,1,1d6,C,B,2,4,D,DD,SilverToHit
Doppelganger,1d6,5,9,4,25,E,1,1d6,C,B,3,4,D,DD,"Polymorphism, SaveBonus (6)"
Gargoyle,1d10,6,9,4,25,C,1,1d6,C,B,3,4,D,DD,"Flight (15), MagicToHit (1)"
Young Black Dragon,1d4,4,9,4,60,H,1,1d6,C,B,3,4,D,DD,"Flight (18), Detection (6), AcidBreath, AcidImmunity"
Wereboar,1d10,5,12,4+1,15,C,1,1d6,C,B,3,4.3,D,DD,SilverToHit
Weretiger,1d10,4,12,5,15,C,1,1d6,C,B,3,5,D,DD,SilverToHit
Very Young Gold Dragon,1d4,5,6,2-1,60,-,1,1d6,L,B,4,1.7,D,DD,"Flight (12), Detection (6), FireBreath, SaveBonus (4), Spells"
Young Green Dragon,1d4,4,9,5,60,H,1,1d6,C,B,4,5,D,DD,"Flight (18), Detection (6), PoisonBreath"
Young Blue Dragon,1d4,4,9,5+2,60,H,1,1d6,C,B,4,5.6,D,DD,"Flight (18), Detection (6), VoltBreath, VoltImmunity"
Minotaur,1d8,6,12,6,30,C,1,1d6,C,B,4,6,D,DD,Fearlessness
Werebear,1d10,3,9,6,15,C,1,1d6,L,B,4,6,D,DD,SilverToHit
Young Red Dragon,1d4,4,9,6,60,H,1,1d6,C,B,5,6,D,DD,"Flight (18), Detection (6), FireBreath, FireImmunity"
Manticora,1d4,5,12,6+1,25,D,1,1d6,C,B,5,6.3,D,DD,"Flight (18), TailSpikes"
Robot,1d4,3,6,7,-,-,1,1d6+2,C,B,5,7,D,DD,"Fearlessness, Disintegration"
Young Gold Dragon,1d4,4,9,4,60,H,1,1d6,L,B,6,4,D,DD,"Flight (18), Detection (6), FireBreath, SaveBonus (4), Spells"
Cockatrice,1d8,6,9,5,35,D,1,1d6,C,B,6,5,D,DD,"Flight (18), Petrification"
Five-Headed Hydra,1d2,5,12,5,25,B,5,1d6,N,B,6,5,D,DD,ManyHeads
Sub-Adult White Dragon,1d4,4,9,5,60,H,1,1d6,C,B,6,5,D,DD,"Flight (24), Detection (6), Fearlessness, ColdBreath, ColdImmunity"
Sub-Adult Black Dragon,1d4,4,9,6,60,H,1,1d6,C,B,7,6,D,DD,"Flight (24), Detection (6), Fearlessness, AcidBreath, AcidImmunity"
Six-Headed Hydra,1d2,5,12,6,25,B,6,1d6,N,B,8,6,D,DD,ManyHeads
Wyvern,1d6,4,9,7,60,E,1,1d6+2,C,B,8,7,D,DD,"Flight (24), Poison"
Sub-Adult Green Dragon,1d4,4,9,7,60,H,1,1d6,C,B,9,7,D,DD,"Flight (24), Detection (6), Fearlessness, PoisonBreath"
Seven-Headed Hydra,1d2,5,12,7,25,B,7,1d6,N,B,10,7,D,DD,ManyHeads
Salamander,1d4+1,5,9,7+3,70,F,1,2d6,C,B,10,7.9,D,DD,"Constriction, FireImmunity, MagicToHit (1)"
Medusa,1d4,7,9,4,75,F,1,1d6,C,B,11,4,D,DD,"PetrifyingGaze, Poison"
Eight-Headed Hydra,1d2,5,12,8,25,B,8,1d6,N,B,11,8,D,DD,ManyHeads
Gorgon,1d4,3,12,8,50,E,1,1d6,C,B,11,8,D,DD,PetrifyingBreath
Sub-Adult Blue Dragon,1d4,4,9,8,60,H,1,1d6+2,C,B,11,8,D,DD,"Flight (24), Detection (6), Fearlessness, VoltBreath, VoltImmunity"
Chimera,1d4,4,12,9,50,F,3,1d6,C,B,11,9,D,DD,"Flight (18), FireBreath (3)"
Adult White Dragon,1d4,3,9,7,60,H,1,1d6,C,B,12,7,D,DD,"Flight (24), Detection (6), Fearlessness, ColdBreath, ColdImmunity"
Flesh Golem,1,9,9,9,-,-,1,2d6,N,B,12,9,D,DD,"MagicToHit (1), MagicImmunity"
Sub-Adult Red Dragon,1d4,4,9,9,60,H,1,1d6+2,C,B,12,9,D,DD,"Flight (24), Detection (6), Fearlessness, FireBreath, FireImmunity"
Adult Black Dragon,1d4,3,9,8,60,H,1,1d6+2,C,B,14,8,D,DD,"Flight (24), Detection (6), Fearlessness, AcidBreath, AcidImmunity"
Nine-Headed Hydra,1d2,5,12,9,25,B,9,1d6,N,B,14,9,D,DD,ManyHeads
Adult Green Dragon,1d4,3,9,9,60,H,1,1d6+2,C,B,16,9,D,DD,"Flight (24), Detection (6), Fearlessness, PoisonBreath"
Ten-Headed Hydra,1d2,5,12,10,25,B,10,1d6,N,B,17,10,D,DD,ManyHeads
Basilisk,1d6,4,6,6+1,40,F,1,1d6,C,B,18,6.3,D,DD,"PetrifyingGaze, Petrification"
Sub-Adult Gold Dragon,1d4,4,9,7,60,H,1,1d6,L,B,18,7,D,DD,"Flight (24), Detection (6), Fearlessness, FireBreath, SaveBonus (4), Spells"
Purple Worm,1d4,6,9,15,25,D,1,2d6,N,B,18,15,D,DD,"Swallowing, Poison, Fearlessness"
Clay Golem,1,2,6,12,-,-,1,2d6,N,B,19,12,D,DD,"MagicToHit (1), MagicImmunity"
Dragon Turtle,1d4,2,3,12,60,H,1,1d6,N,B,19,12,U,DD,"Swimming (9), SteamBreath"
Adult Blue Dragon,1d4,3,9,10,60,H,1,1d6+2,C,B,20,10,D,DD,"Flight (24), Detection (6), Fearlessness, VoltBreath, VoltImmunity"
Eleven-Headed Hydra,1d2,5,12,11,25,B,11,1d6,N,B,20,11,D,DD,ManyHeads
Old White Dragon,1d4,3,9,9,60,H,1,1d6+2,C,B,23,9,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), ColdBreath, ColdImmunity"
Twelve-Headed Hydra,1d2,5,12,12,25,B,12,1d6,N,B,23,12,D,DD,ManyHeads
Adult Red Dragon,1d4,3,9,11,60,H,1,2d6,C,B,24,11,D,DD,"Flight (24), Detection (6), Fearlessness, FireBreath, FireImmunity"
Gothrog,1d6,3,9,10,25,F,2,2d6,C,B,25,10,D,DD,"Flight (15), MagicToHit (1), MagicResistance (75), FireImmunity, Immolation, Fearlessness"
Old Black Dragon,1d4,3,9,10,60,H,1,1d6+2,C,B,28,10,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), AcidBreath, AcidImmunity"
Old Green Dragon,1d4,3,9,11,60,H,1,2d6,C,B,31,11,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), PoisonBreath"
Adult Gold Dragon,1d4,3,9,10,60,H,1,1d6+2,L,B,38,10,D,DD,"Flight (24), Detection (6), Fearlessness, FireBreath, SaveBonus (4), Spells"
Old Blue Dragon,1d4,3,9,12,60,H,1,2d6,C,B,38,12,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), VoltBreath, VoltImmunity"
Very Old White Dragon,1d4,2,9,11,60,H,1,2d6,C,B,41,11,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), ColdBreath, ColdImmunity"
Old Red Dragon,1d4,3,9,13,60,H,1,2d6,C,B,41,13,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), FireBreath, FireImmunity"
Stone Living Statue,1,5,6,14,-,-,1,3d6,N,B,42,14,D,DD,"Golem, MagicToHit (2), MagicImmunity, Slowing"
Very Old Black Dragon,1d4,2,9,12,60,H,1,2d6,C,B,43,12,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), AcidBreath, AcidImmunity"
Very Old Green Dragon,1d4,2,9,13,60,H,1,2d6,C,B,52,13,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), PoisonBreath"
Very Old Blue Dragon,1d4,2,9,14,60,H,1,2d6,C,B,57,14,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), VoltBreath, VoltImmunity"
Very Old Red Dragon,1d4,2,9,15,60,H,1,3d6,C,B,72,15,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), FireBreath, FireImmunity"
Old Gold Dragon,1d4,3,9,13,60,H,1,2d6,L,B,77,13,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), FireBreath, SaveBonus (4), Spells"
Very Old Gold Dragon,1d4,2,9,16,60,H,1,3d6,L,B,111,16,D,DD,"Flight (24), Detection (6), Fearlessness, Fear (2), FireBreath, SaveBonus (4), Spells"
Iron Living Statue,1,2,6,18,-,-,1,4d6,N,B,120,18,D,DD,"Golem, MagicToHit (3), MagicImmunity, PoisonBreath (1)"
Juggernaut,1,2,9,37,-,-,1,5d6,N,B,218,37,D,DD,"MagicToHit (3), MagicImmunity, Fearlessness, Death, Hold"
Nixie,2d10,7,6,1-1,100,B,1,1d6,N,F,1,0.7,U,DD,"Swimming (12), CharmPerTen"
Pixie,2d10,6,9,1-1,25,C,1,1d6,N,F,1,0.7,W,DD,"Flight (18), Invisibility, Sleep"
Dwarf,2d6,4,9,1,50,G,1,1d6,L,F,1,1,W,DD,DodgeGiants
Elf,2d6,7,12,1,25,E,1,1d6,L,F,1,1,W,DD,-
Gnome,2d6,6,9,1,60,C,1,1d6,L,F,1,1,W,DD,-
Halfling,2d4,7,9,1,70,B,1,1d6,L,F,1,1,W,DD,-
Pegasus,1d12,6,24,2+2,-,-,1,1d6,L,F,2,2.6,W,DD,Flight (48)
Hippogriff,1d8,6,18,3+1,-,-,1,1d6,N,F,2,3.3,W,DD,Flight (36)
Centaur,2d4,6,18,4,5,A,2,1d6,L,F,3,4,W,DD,-
Unicorn,1d4,3,24,4,-,-,1,1d6,L,F,3,4,W,DD,"SaveBonus (6), Detection (24)"
Young Roc,1d8,6,6,6,20,I,1,1d6,N,F,4,6,W,DD,Flight (48)
Griffon,1d8,4,12,7,10,E,1,1d6,N,F,4,7,W,DD,Flight (30)
Dryad,1d6,5,12,2,20,D,1,1d6,L,F,5,2,W,DD,Charm (-2)
Adult Roc,1d6,5,6,12,20,I,1,2d6,N,F,9,12,W,DD,Flight (42)
Animated Tree,1,2,6,8,-,-,1,2d6,L,F,14,8,W,DD,"MagicToHit (1), ChopResistance, FireVulnerability"
Ancient Roc,1d4,4,6,18,20,I,1,3d6,N,F,22,18,W,DD,"Flight (36), Fear (2)"
Treant,1d10,2,6,8,15,-,1,2d6,L,F,33,8,W,DD,"MagicToHit (1), ChopResistance, FireVulnerability, SummonTrees"
Kobold,2d10,7,6,1/2,50,-,1,1d6,C,H,1,0.5,D,DD,Swimming (9)
Goblin,2d10,7,9,1-1,50,-,1,1d6,C,H,1,0.7,D,DD,-
Orc,2d8,7,9,1,50,D,1,1d6,C,H,1,1,D,DD,-
Hobgoblin,2d6,5,9,1+1,30,D,1,1d6,C,H,1,1.3,D,DD,-
Gnoll,2d5,6,9,2,30,D,1,1d6,C,H,1,2,D,DD,-
Lizardman,2d4,6,6,2+1,40,D,1,1d6,C,H,1,2.3,D,DD,Swimming (12)
Ogre,1d8,6,9,4+1,30,C,1,1d6+2,C,H,3,4.3,D,DD,-
Thull,1d8,6,9,3,35,D,1,1d6,C,H,4,3,D,DD,"Regeneration (1), Paralysis"
Troll,1d6,5,12,6+3,50,D,1,1d6,C,H,5,6.9,D,DD,Regeneration (3)
Hill Giant,1d8,4,12,8,30,E,1,2d6,C,H,8,8,D,DD,"RockHurling, Fearlessness"
Stone Giant,1d8,2,12,9,30,E,1,2d6,N,H,9,9,D,DD,"RockHurling, Fearlessness"
Frost Giant,1d8,4,12,10+1,30,E,1,2d6+1,C,H,10,10.3,D,DD,"RockHurling, Fearlessness, ColdImmunity"
Fire Giant,1d8,3,12,11+3,30,E,1,2d6+2,C,H,11,11.9,D,DD,"RockHurling, Fearlessness, FireImmunity"
Cloud Giant,1d8,3,15,12+2,30,E,1,3d6,N,H,14,12.6,D,DD,"RockHurling, Fearlessness, Detection"
Storm Giant,1d8,2,15,15,30,E,1,3d6+3,N,H,19,15,D,DD,"RockHurling, Fearlessness, VoltImmunity"
Cyclops,1d4,2,15,16,30,E,1,3d6+3,N,H,20,16,W,DD,"RockHurling, HitBonus (-2)"
Titan,1,2,18,21,5,A,1,3d6+3,N,H,38,21,D,DD,Spells
Bandit,2d8,8,12,1,15,A,1,1d6,C,M,1,1,D,DD,-
Brigand,2d8,6,12,1,15,A,1,1d6,C,M,1,1,W,DD,-
Buccaneer,2d8,8,12,1,15,A,1,1d6,C,M,1,1,W,DD,-
Nomad,2d8,8,12,1,15,A,1,1d6,C,M,1,1,W,DD,-
Pirate,2d8,8,12,1,15,A,1,1d6,C,M,1,1,W,DD,-
Berserker,2d8,9,12,1+1,15,A,1,1d6,N,M,1,1.3,W,DD,"HitBonus (2), Fearlessness"
Dervish,2d8,8,12,1+1,15,A,1,1d6,L,M,1,1.3,W,DD,"HitBonus (2), Fearlessness"
Mercenary,2d8,6,12,1+1,15,A,1,1d6,N,M,1,1.3,W,DD,-
Merman,2d6,7,3,1+1,40,A,1,1d6,N,M,1,1.3,U,DD,Swimming (15)
Zealot,2d8,9,12,1+1,15,A,1,1d6,C,M,1,1.3,W,DD,"HitBonus (2), Fearlessness"
Caveman,2d6,9,12,2,15,C,1,1d6,N,M,1,2,W,DD,-
Cyborg,2d4,5,9,3+3,15,G,1,1d6+2,C,M,3,3.9,D,DD,Fearlessness
Android,1d8,9,12,2,15,A,1,1d6,N,M,4,2,D,DD,Spells (2)
Gray Ooze,1,9,3,3,-,-,1,2d6,N,S,4,3,D,DD,"MetalEating, FireImmunity, ColdImmunity"
Ochre Jelly,1,9,3,5,-,-,1,1d6,N,S,4,5,D,DD,"WoodEating, VoltImmunity, ChopImmunity"
Green Slime,1,9,0,3,-,-,1,0,N,S,5,3,D,DD,"FleshEating, WoodEating, MetalEating, VoltImmunity, ChopImmunity"
Yellow Mold,1,9,0,3,-,-,1,1d6,N,S,5,3,D,DD,"SporeCloud, WoodEating, VoltImmunity, ColdImmunity, ChopImmunity"
Gelatinous Cube,1,8,6,4,-,-,1,1d6,N,S,5,4,D,DD,"Paralysis, VoltImmunity, ColdImmunity"
Black Pudding,1,7,3,10,-,-,1,3d6,N,S,12,10,D,DD,"WoodEating, MetalEating, VoltImmunity, ColdImmunity, ChopImmunity"
Skeleton,3d10,8,6,1/2,-,-,1,1d6,N,U,1,0.5,D,DD,Fearlessness
Zombie,3d10,9,6,1,-,-,1,1d6,N,U,1,1,D,DD,Fearlessness
Ghoul,1d12,7,9,2,20,B,1,1d6,C,U,3,2,D,DD,Paralysis
Wight,1d12,6,9,3,60,B,1,1d6,C,U,3,3,D,DD,"SilverToHit, EnergyDrain (1)"
Wraith,1d8,4,12,4,20,E,1,1d6,C,U,4,4,D,DD,"Flight (12), SilverToHit, ChopResistance (1), EnergyDrain (1), Fear (2)"
Mummy,1d6,4,6,5+1,30,D,1,1d6,C,U,6,5.3,D,DD,"MagicToHit (1), ChopResistance, FireVulnerability, Rotting"
Spectre,1d8,3,15,6,25,E,1,1d6,C,U,7,6,D,DD,"Flight (15), MagicToHit (1), EnergyDrain (2)"
Vampire,1d6,2,12,8,20,F,1,1d6,C,U,24,8,D,DD,"Flight (18), MagicToHit (1), Regeneration (3), EnergyDrain (2), Charm (-2), SummonVermin, Polymorphism"
Djinni,1,6,9,7+1,-,-,1,2d6-1,N,X,6,7.3,X,DD,"Flight (24), Invisibility, Illusion, Whirlwind (2)"
Eight Hit Dice Air Elemental,1,3,36,8,-,-,1,1d6+1,N,X,7,8,X,DD,"Flight (36), Whirlwind (3), MagicToHit (1)"
Invisible Stalker,1,2,12,8,-,-,1,1d6,N,X,7,8,X,DD,"Flight (12), Invisibility"
Eight Hit Dice Fire Elemental,1,3,12,8,-,-,1,2d6,N,X,9,8,X,DD,MagicToHit (1)
Eight Hit Dice Water Elemental,1,3,6,8,-,-,1,2d6,N,X,10,8,X,DD,"Swimming (18), MagicToHit (1)"
Eight Hit Dice Earth Elemental,1,3,6,8,-,-,1,3d6,N,X,11,8,X,DD,MagicToHit (1)
Efreeti,1,4,9,10,-,-,1,2d6,C,X,11,10,X,DD,"Flight (24), Invisibility, Illusion, WallOfFire"
Twelve Hit Dice Air Elemental,1,3,36,12,-,-,1,1d6+1,N,X,11,12,X,DD,"Flight (36), Whirlwind (3), MagicToHit (1)"
Twelve Hit Dice Water Elemental,1,3,6,12,-,-,1,2d6,N,X,13,12,X,DD,"Swimming (18), MagicToHit (1)"
Twelve Hit Dice Fire Elemental,1,3,12,12,-,-,1,2d6,N,X,14,12,X,DD,MagicToHit (1)
Sixteen Hit Dice Air Elemental,1,3,36,16,-,-,1,1d6+1,N,X,15,16,X,DD,"Flight (36), Whirlwind (3), MagicToHit (1)"
Twelve Hit Dice Earth Elemental,1,3,6,12,-,-,1,3d6,N,X,18,12,X,DD,MagicToHit (1)
Sixteen Hit Dice Fire Elemental,1,3,12,16,-,-,1,2d6,N,X,19,16,X,DD,MagicToHit (1)
Sixteen Hit Dice Water Elemental,1,3,6,16,-,-,1,2d6,N,X,19,16,X,DD,"Swimming (18), MagicToHit (1)"
Sixteen Hit Dice Earth Elemental,1,3,6,16,-,-,1,3d6,N,X,26,16,X,DD,MagicToHit (1)
